id,title,artist,genre,image_url
1,hate that i made you love me,Ariana Grande,pop,https://i.scdn.co/image/ab67616d00001e02b622d42c30697e1e1414343c
2,So Easy (To Fall In Love),Olivia Dean,pop,https://i.scdn.co/image/ab67616d00001e029a336bfb6d40bbd90a507417
3,honeybee,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
4,stupid song,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
5,Stateside + Zara Larsson,PinkPantheress,pop,https://i.scdn.co/image/ab67616d00001e02684ecc5bc1b724d0106ad694
6,Man I Need,Olivia Dean,pop,https://i.scdn.co/image/ab67616d00001e02e3d69e17dde129037a1f09e2
7,the cure,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
8,u + me = <3,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
9,my way,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
10,Dreams - 2004 Remaster,Fleetwood Mac,pop,https://i.scdn.co/image/ab67616d00001e02e52a59a28efa4773dd2bfe1b
11,One Dance,Drake,pop,https://i.scdn.co/image/ab67616d00001e029416ed64daf84936d89e671c
12,NOBLE,F3miii,pop,https://i.scdn.co/image/ab67616d00001e023e2c1f8bb3f146186e2a1dc5
13,End of Beginning,Djo,pop,https://i.scdn.co/image/ab67616d00001e02fddfffec51b4580acae727c1
14,Iris,The Goo Goo Dolls,pop,https://i.scdn.co/image/ab67616d00001e02eda9478c39a21e1cdc6609ca
15,expectations,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
16,what’s wrong with me,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
17,DAISIES,Justin Bieber,pop,https://i.scdn.co/image/ab67616d00001e02d65c4773bc5061fd27facc5b
18,begged,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
19,maggots for brains,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
20,cigarette smoke,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
21,Dracula - JENNIE Remix,Tame Impala,pop,https://i.scdn.co/image/ab67616d00001e02c7c031ce9d06b131f8563676
22,Lush Life,Zara Larsson,pop,https://i.scdn.co/image/ab67616d00001e02401bf6103d4b7f5230a21582
23,Headlines,Drake,pop,https://i.scdn.co/image/ab67616d00001e02c7ea04a9b455e3f68ef82550
24,The Fate of Ophelia,Taylor Swift,pop,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
25,Beauty And A Beat,Justin Bieber,pop,https://i.scdn.co/image/ab67616d00001e02f1d02a6cec967f8b6b78f76e
26,BIRDS OF A FEATHER,Billie Eilish,pop,https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62
27,iloveitiloveitiloveit,Bella Kay,pop,https://i.scdn.co/image/ab67616d00001e02e74e15fe75e80ea69f38a680
28,Promiscuous,Nelly Furtado,pop,https://i.scdn.co/image/ab67616d00001e02a6f439c8957170652f9410e2
29,drop dead,Olivia Rodrigo,pop,https://i.scdn.co/image/ab67616d00001e025cf234eeb7a2edf44bf64a46
30,What I Want (feat. Tate McRae),Morgan Wallen,pop,https://i.scdn.co/image/ab67616d00001e0235ea219ce47813b5e2dc3745
31,ICONIC BY MISTAKE,LE SSERAFIM,pop,https://i.scdn.co/image/ab67616d00001e0255886e2f0784a2b7b62b7fe7
32,Sign of the Times,Harry Styles,pop,https://i.scdn.co/image/ab67616d00001e023f8b8a9c71b2bd2f3019940b
33,No One Noticed,The Marías,pop,https://i.scdn.co/image/ab67616d00001e028aa339341a0b0c813909c831
